,lng,lat,API_rejected
"Hiiu maakond, Pühalepa vald, Soonlepa küla, Lillemetsa",23.0058999,58.84729989999999,
"Harju maakond, Tallinn, Pirita linnaosa, Ussilaka tee 16",24.8476651,59.47939900000001,
"Harju maakond, Viimsi vald, Püünsi küla, Kasesoo tee 2",24.808410100000003,59.5440314,
"Tartu maakond, Ülenurme vald, Õssu küla, Eerika tee 6",26.668776,58.36687789999999,
"Harju maakond, Tallinn, Pirita linnaosa, Lumiku tn 9",24.8796849,59.47647339999999,
"Harju maakond, Jõelähtme vald, Iru küla, Ämma tee 14",24.9099547,59.457935600000006,
"Hiiu maakond, Emmaste vald, Reheselja küla, Lõõtsa",22.5197,58.7071,
"Hiiu maakond, Emmaste vald, Haldi küla, Murru",22.4658999,58.8093999,
"Harju maakond, Viimsi vald, Laiaküla, Käära põik 1b",24.9212735,59.4719089,
"Harju maakond, Viimsi vald, Viimsi alevik, Tulika tee 1",24.8489343,59.5008353,
"Hiiu maakond, Käina vald, Käina alevik, Mere tn 8",22.7806394,58.82694180000001,
"Lääne maakond, Lääne-Nigula vald, Linnamäe küla, Sauna",23.713132,58.995677,
"Hiiu maakond, Käina vald, Allika küla, Kasepalu",22.7850779,58.840924,
"Hiiu maakond, Emmaste vald, Leisu küla, Nurga/1",22.5086999,58.7810999,
"Lääne maakond, Ridala vald, Mäeküla, Pähkli tee 13",23.477232,58.87994989999999,
"Hiiu maakond, Emmaste vald, Jausa küla, Unna",22.6958999,58.7811,
"Hiiu maakond, Emmaste vald, Kurisu küla, Veskiniidi",22.5423999,58.7704,
"Hiiu maakond, Käina vald, Esiküla, Seeba",22.8359999,58.80979999999999,
"Lääne maakond, Lääne-Nigula vald, Uugla küla, Männi",23.7566019,58.99819089999999,
"Hiiu maakond, Hiiu vald, Kärdla linn, Kanarbiku tn 2",22.7491282,58.9863348,
"Hiiu maakond, Hiiu vald, Kärdla linn, Ranna tn 16",22.756823,59.0042385,
"Lääne maakond, Noarootsi vald, Elbiku küla / Ölbäck, Kivi",23.529765,59.157687900000006,
"Lääne maakond, Nõva vald, Nõmmemaa küla, Männimäe",23.750275,59.15496299999999,
"Hiiu maakond, Hiiu vald, Kärdla linn, Väike-Aia tn 3a",22.733787,58.998653,
"Lääne maakond, Noarootsi vald, Spithami küla / Spithamn, Lydias",23.52665,59.21687599999999,
"Lääne maakond, Martna vald, Laiküla, Aavaaluse",23.9879,58.7678,
"Hiiu maakond, Hiiu vald, Kärdla linn, Seene tn 3",22.7506162,58.98211529999999,
"Lääne maakond, Nõva vald, Nõva küla, Piibelehe",23.6868459,59.22154390000001,
"Hiiu maakond, Käina vald, Kassari küla, Mõisa",22.8288879,58.78830199999999,
"Lääne maakond, Martna vald, Kasari küla, Pesa",24.013879,58.73386900000001,
"Lääne maakond, Nõva vald, Rannaküla, Puraviku",23.659,59.2368,
"Hiiu maakond, Käina vald, Kaigutsi küla, Laasi",22.6776999,58.8382,
"Lääne maakond, Haapsalu linn, Raudtee tn 15",23.53657560000001,58.93546550000001,
"Lääne maakond, Haapsalu linn, Suur-Liiva tn 19",23.525437300000004,58.94859429999999,
"Lääne maakond, Haapsalu linn, Männi tn 25",23.5621524,58.93635820000001,
"Lääne maakond, Hanila vald, Mõisaküla, Raja",23.5452,58.6758999,
"Tartu maakond, Tartu linn, Jakobi tn 43",26.710632,58.3840082,
"Hiiu maakond, Hiiu vald, Reigi küla, Kordoni",22.5246999,58.99870000000001,
"Lääne maakond, Haapsalu linn, Kastani tn 36",23.5597048,58.93398000000001,
"Lääne maakond, Haapsalu linn, Vahtra tn 2c",23.5559037,58.938565800000006,
"Hiiu maakond, Hiiu vald, Otste küla, Endriko",22.5197089,58.96535600000001,
"Hiiu maakond, Hiiu vald, Jõeranna küla, Haru",22.4757079,58.957478,
"Hiiu maakond, Hiiu vald, Kalana küla, Tuulemänni",22.075,58.92409989999999,
"Hiiu maakond, Hiiu vald, Kärdla linn, Sadama tn 21",22.7519599,59.0054485,
"Lääne maakond, Haapsalu linn, Jaama tn 28",23.5390193,58.9391072,
"Hiiu maakond, Hiiu vald, Mardihansu küla, Uustalu",22.4112679,58.8837659,
"Lääne maakond, Haapsalu linn, Tamme tn 1c",23.5527642,58.9390409,
"Lääne maakond, Haapsalu linn, Hommiku kallas 5",23.5370534,58.94824860000001,
"Lääne maakond, Lihula vald, Lihula linn, Karja tn 13",23.8276103,58.68688479999999,
"Hiiu maakond, Hiiu vald, Kärdla linn, Kaare tn 12",22.7281152,58.9991225,
"Hiiu maakond, Käina vald, Kassari küla, Viini",22.8288879,58.78830199999999,
"Hiiu maakond, Käina vald, Esiküla, Väike-Sulli",22.8359999,58.80979999999999,
"Hiiu maakond, Käina vald, Männamaa küla, Krundi",22.6220999,58.8393999,
"Hiiu maakond, Pühalepa vald, Hausma küla, Pauli",22.8056789,58.9946829,
"Hiiu maakond, Pühalepa vald, Aruküla, Sarapiku",22.995,58.861099900000006,
"Hiiu maakond, Pühalepa vald, Paluküla, Halli",22.8102639,58.97833299999999,
"Lääne maakond, Haapsalu linn, Männiku tee 25",23.5435902,58.92599570000001,
"Hiiu maakond, Hiiu vald, Kärdla linn, Kajaka tn 3",22.7541526,59.00456080000001,
"Lääne maakond, Noarootsi vald, Sutlepa küla / Sutlep, Lepiku",23.6062579,59.05313100000001,
"Lääne maakond, Noarootsi vald, Einbi küla / Enby, Ramsholmi",23.4567279,58.990016,
"Lääne maakond, Noarootsi vald, Spithami küla / Spithamn, Schönkulla",23.52665,59.21687599999999,
"Lääne maakond, Noarootsi vald, Spithami küla / Spithamn, Vendela",23.52665,59.21687599999999,
"Hiiu maakond, Hiiu vald, Kärdla linn, Liiva tn 11",22.7498343,58.9883047,
"Hiiu maakond, Hiiu vald, Ojaküla, Taaveti",22.193846,58.90269590000001,
"Hiiu maakond, Pühalepa vald, Tubala küla, Kasesalu",22.769643,58.95502,
"Harju maakond, Saku vald, Saku alevik, Kasteheina tee 2",24.6470915,59.30432440000001,
"Lääne maakond, Hanila vald, Pivarootsi küla, Uus-Meremäe",23.5999119,58.551837,
"Lääne maakond, Lääne-Nigula vald, Kedre küla, Uuetoa",23.8039349,58.94600999999999,
"Harju maakond, Rae vald, Patika küla, Puraviku tee 10",24.9179144,59.29874760000001,
"Lääne maakond, Ridala vald, Uuemõisa alevik, Tennise tn 25",23.5916318,58.93964450000001,
"Lääne maakond, Ridala vald, Uuemõisa alevik, Tennise tn 17",23.5920316,58.9400162,
"Lääne maakond, Ridala vald, Herjava küla, Redise tn 4",23.6483269,58.9510407,
"Harju maakond, Tallinn, Kesklinna linnaosa, J. Vilmsi tn 31/1",24.7778336,59.43497199999999,
"Lääne maakond, Hanila vald, Esivere küla, Küngu",23.569605,58.6303869,
"Lääne maakond, Haapsalu linn, Lahe tn 7a",23.5314984,58.94635299999999,
"Lääne maakond, Haapsalu linn, Pääsukese tn 2",23.530249800000004,58.9294696,
"Lääne maakond, Haapsalu linn, Suur-Liiva tn 23",23.526068,58.94925210000001,
"Lääne maakond, Haapsalu linn, Männi tn 18",23.5631457,58.935323,
"Lääne maakond, Hanila vald, Massu küla, Päikese",23.6158719,58.65248190000001,
"Lääne maakond, Haapsalu linn, Lehise tn 9",23.5613593,58.9380104,
"Lääne maakond, Haapsalu linn, Kastani tn 28",23.5591366,58.93323510000001,
"Lääne maakond, Haapsalu linn, Aida tn 4",23.5383403,58.92977,
"Lääne maakond, Noarootsi vald, Paslepa küla / Pasklep, Viigi",23.4479989,59.05363999999999,
"Harju maakond, Raasiku vald, Aruküla alevik, Aleksandri 2",25.0819151,59.365784,
"Lääne maakond, Haapsalu linn, Holmi kallas 6",23.52463160000001,58.955651,
"Harju maakond, Saue vald, Laagri alevik, Pilliroo tn 81",24.6042292,59.35838219999999,
"Tartu maakond, Ülenurme vald, Ülenurme alevik, Koovitaja tn 11",26.7256795,58.3223723,
"Tartu maakond, Ülenurme vald, Lemmatsi küla, Kannistiku tee 16",26.6353695,58.3340171,
"Pärnu maakond, Sauga vald, Kilksama küla, Haaviku tee 24",24.604996,58.45095240000001,
"Harju maakond, Kernu vald, Kibuna küla, Porri AÜ 25",24.2787,59.2023,
"Harju maakond, Harku vald, Tabasalu alevik, Sarapuu põik 5",24.5502053,59.4268107,
"Harju maakond, Kiili vald, Luige alevik, Sangari tn 46",24.7796806,59.3199754,
"Tartu maakond, Tartu vald, Vahi alevik, Mõisatalli tn 9a",26.7252492,58.4045557,
"Harju maakond, Viimsi vald, Pärnamäe küla, Kesk-Kaare tee 11",24.8496138,59.50546920000001,
"Harju maakond, Rae vald, Vaskjala küla, Sillavahe tee 11",24.9455966,59.36477070000001,
"Tartu maakond, Tähtvere vald, Vorbuse küla, Jõerahu tn 3",26.6651093,58.42757169999999,
"Harju maakond, Keila linn, Barsbütteli tn 2",24.397826100000003,59.3096306,
"Lääne maakond, Lihula vald, Tuudi küla, Jaama",23.8406348,58.6840677,
"Harju maakond, Maardu linn, Kullerkupu tn 12",24.9401832,59.48190949999999,
"Ida-Viru maakond, Kiviõli linn, Maidla tee 6",26.96449,59.3528458,
"Ida-Viru maakond, Kohtla vald, Peeri küla, Vaarika",27.271824,59.36334300000001,
"Harju maakond, Viimsi vald, Metsakasti küla, Loomisvälja tee 7",24.9165191,59.49013910000001,
"Harju maakond, Keila linn, Kanarbiku tn 18",24.378912300000003,59.323288100000006,
"Tartu maakond, Rõngu vald, Tilga küla, Leevikese",26.2610789,58.1547169,
"Lääne maakond, Ridala vald, Herjava küla, Haagi tn 5",23.626679,58.95498190000001,
"Lääne maakond, Ridala vald, Paralepa alevik, Jõhvika tn 5",23.5215897,58.9282923,
"Tartu maakond, Võnnu vald, Kannu küla, Oskari",27.050354,58.314537,
"Lääne maakond, Ridala vald, Mäeküla, Antsu",23.477232,58.87994989999999,
"Rapla maakond, Kohila vald, Kohila alev, Tulbi tn 5",24.7451572,59.1736823,
"Harju maakond, Tallinn, Haabersti linnaosa, Selja tn 9",24.6268784,59.433149,
"Lääne maakond, Ridala vald, Uuemõisa alevik, Kaare tn 12",23.589082,58.93830139999999,
"Harju maakond, Harku vald, Tabasalu alevik, Tooma tee 10/Oskari 2",24.5478283,59.43168019999999,
"Lääne maakond, Ridala vald, Mäeküla, Alo",23.477232,58.87994989999999,
"Lääne maakond, Ridala vald, Puise küla, Karja",23.4739439,58.784714,
"Lääne maakond, Ridala vald, Herjava küla, Rukkilille tn 1",23.6379505,58.95113389999999,
"Harju maakond, Jõelähtme vald, Liivamäe küla, Vanasauna tee 40",24.9724772,59.42770400000001,
"Harju maakond, Viimsi vald, Pärnamäe küla, Kuremarja tee 14",24.8703134,59.49867609999999,
"Harju maakond, Tallinn, Lasnamäe linnaosa, Valge tn 18f",24.808891,59.4408384,
"Harju maakond, Rae vald, Peetri alevik, Kelgumäe tn 37",24.8190463,59.4032782,
"Harju maakond, Viimsi vald, Haabneeme alevik, Salumetsa tee 2a",24.8184836,59.5235594,
"Harju maakond, Tallinn, Haabersti linnaosa, Koogu tn 5",24.6166707,59.42536479999999,
"Tartu maakond, Tartu linn, Herne tn 25",26.7157146,58.3856565,
"Harju maakond, Saku vald, Tänassilma küla, Kungla tn 12",24.6511188,59.3443663,
"Tartu maakond, Tartu linn, Pihlaka tn 1",26.7189768,58.35467149999999,
"Lääne maakond, Ridala vald, Herjava küla, Kase tn 13",23.6477782,58.9515547,
"Lääne-Viru maakond, Vihula vald, Käsmu küla, Neeme tee 40a",25.9210939,59.602681200000006,
"Lääne maakond, Ridala vald, Herjava küla, Kase tn 26",23.645588,58.95201830000001,
"Lääne maakond, Ridala vald, Haeska küla, Kruusiaugu",23.6673999,58.80349989999999,
"Lääne maakond, Lääne-Nigula vald, Taebla alevik, Metsa tn 1a",23.7262433,58.948083,
"Lääne maakond, Lääne-Nigula vald, Taebla alevik, Kase tn 10",23.730728,58.9479139,
"Lääne maakond, Ridala vald, Uuemõisa alevik, Kirsi tn 8",23.5928059,58.9415171,
